"Unique_Unique_Object","Experiment","Aktnac","ERKnac","Condition","Concen"
93,"20200122 P1",0.1371,0.00519999999999932,"YM",0
93,"20200630 P1",0.3631,0.1291,"DMSO",0.41
94,"20200630 P1",0.4163,0.2305,"DMSO",0.41
95,"20200630 P1",0.00159999999999999,0.0600999999999999,"DMSO",0.41
96,"20200122 P1",0.1164,-0.241699999999999,"DMSO",0
96,"20200122 P1",0.1164,-0.241699999999999,"PTx",0
96,"20200122 P1",0.1164,-0.241699999999999,"YM",0
97,"20200630 P1",0.1188,-0.2359,"DMSO",0.41
98,"20200630 P1",0.00609999999999933,-0.0557999999999997,"DMSO",0.41
99,"20200630 P1",0.1792,0.1925,"DMSO",0.41
100,"20200630 P1",0.368399999999999,0.249,"DMSO",0.41
102,"20200122 P1",0.1804,0.3408,"DMSO",0
102,"20200122 P1",0.1804,0.3408,"PTx",0
102,"20200122 P1",0.1804,0.3408,"YM",0
102,"20200630 P1",0.1673,0.184100000000001,"DMSO",0.41
103,"20200630 P1",0.3301,0.0556000000000005,"DMSO",0.41
105,"20200122 P1",0.0124999999999999,0.1598,"DMSO",0
105,"20200122 P1",0.0124999999999999,0.1598,"PTx",0
105,"20200122 P1",0.0124999999999999,0.1598,"YM",0
105,"20200630 P1",0.3455,2.021,"DMSO",0.41
106,"20200630 P1",0.2933,0.223,"DMSO",0.41
111,"20200630 P1",0.59,0.7572,"DMSO",0.41
112,"20200630 P1",0.2711,0.324,"DMSO",0.41
113,"20200630 P1",0.3591,0.3747,"DMSO",0.41
115,"20200122 P1",0.3455,-0.1148,"DMSO",0
115,"20200122 P1",0.3455,-0.1148,"PTx",0
115,"20200122 P1",0.3455,-0.1148,"YM",0
115,"20200630 P1",0.1677,-0.3255,"DMSO",0.41
117,"20200630 P1",0.3327,0.0788999999999999,"DMSO",0.41
118,"20200122 P1",0.1046,0.4488,"DMSO",0
118,"20200122 P1",0.1046,0.4488,"PTx",0
118,"20200122 P1",0.1046,0.4488,"YM",0
118,"20200630 P1",0.1842,0.173,"DMSO",0.41
122,"20200122 P1",0.0396000000000001,0.4872,"DMSO",0
122,"20200122 P1",0.0396000000000001,0.4872,"PTx",0
122,"20200122 P1",0.0396000000000001,0.4872,"YM",0
122,"20200630 P1",0.3059,0.4948,"DMSO",0.41
123,"20200630 P1",0.1606,-0.0807999999999991,"DMSO",0.41
124,"20200122 P1",0.1542,-0.5747,"DMSO",0
124,"20200122 P1",0.1542,-0.5747,"PTx",0
124,"20200122 P1",0.1542,-0.5747,"YM",0
124,"20200630 P1",-0.0201000000000001,-0.0555,"DMSO",0.41
125,"20200630 P1",-0.00730000000000008,0.4347,"DMSO",0.41
128,"20200630 P1",-0.3263,-0.0272000000000009,"DMSO",0.41
129,"20200122 P1",-0.2866,-0.2125,"DMSO",0
129,"20200122 P1",-0.2866,-0.2125,"PTx",0
129,"20200122 P1",-0.2866,-0.2125,"YM",0
129,"20200630 P1",0.2808,0.4187,"DMSO",0.41
131,"20200630 P1",0.1305,0.0591,"DMSO",0.41
132,"20200630 P1",0.112,0.3886,"DMSO",0.41
133,"20200122 P1",-0.2153,0.0519000000000002,"DMSO",0
133,"20200122 P1",-0.2153,0.0519000000000002,"PTx",0
133,"20200122 P1",-0.2153,0.0519000000000002,"YM",0
135,"20200630 P1",-0.0555999999999995,-0.00380000000000014,"DMSO",0.41
137,"20200630 P1",0.6356,0.6281,"DMSO",0.41
143,"20200122 P1",0.193,0.0953999999999998,"DMSO",0
143,"20200122 P1",0.193,0.0953999999999998,"PTx",0
143,"20200122 P1",0.193,0.0953999999999998,"YM",0
143,"20200630 P1",0.752,1.4778,"DMSO",0.41
144,"20200630 P1",0.5409,2.304,"DMSO",0.41
150,"20200122 P1",0.1521,0.254,"DMSO",0
150,"20200122 P1",0.1521,0.254,"PTx",0
150,"20200122 P1",0.1521,0.254,"YM",0
151,"20200630 P1",0.3708,0.4561,"DMSO",0.41
