"Unique_Unique_Object","Experiment","Aktnac","ERKnac","Condition","Concen"
93,"20200122 P1",0.1371,0.00519999999999932,"PTx",0
93,"20200122 P1",0.1371,0.00519999999999932,"YM",0
93,"20200122 P1",0.1371,0.00519999999999932,"ymptx",0
93,"20200603 P1",0.244,4.5234,"DMSO",1300
95,"20200603 P1",-0.5575,3.7246,"DMSO",1300
96,"20200122 P1",0.1164,-0.241699999999999,"DMSO",0
96,"20200122 P1",0.1164,-0.241699999999999,"PTx",0
96,"20200122 P1",0.1164,-0.241699999999999,"YM",0
96,"20200122 P1",0.1164,-0.241699999999999,"ymptx",0
96,"20200603 P1",-0.2607,3.856,"DMSO",1300
97,"20200603 P1",-0.5932,0.8171,"DMSO",1300
98,"20200603 P1",-0.3418,4.6328,"DMSO",1300
99,"20200603 P1",-0.3092,3.0305,"DMSO",1300
100,"20200603 P1",0.7875,3.632,"DMSO",1300
102,"20200122 P1",0.1804,0.3408,"DMSO",0
102,"20200122 P1",0.1804,0.3408,"PTx",0
102,"20200122 P1",0.1804,0.3408,"YM",0
102,"20200122 P1",0.1804,0.3408,"ymptx",0
102,"20200603 P1",-0.5644,3.1659,"DMSO",1300
103,"20200603 P1",-0.4036,3.5611,"DMSO",1300
104,"20200603 P1",0.3822,3.6574,"DMSO",1300
105,"20200122 P1",0.0124999999999999,0.1598,"DMSO",0
105,"20200122 P1",0.0124999999999999,0.1598,"PTx",0
105,"20200122 P1",0.0124999999999999,0.1598,"YM",0
105,"20200122 P1",0.0124999999999999,0.1598,"ymptx",0
105,"20200603 P1",-0.6502,4.866,"DMSO",1300
106,"20200603 P1",0.189,2.7774,"DMSO",1300
107,"20200603 P1",1.1773,7.8157,"DMSO",1300
109,"20200603 P1",-0.9953,1.973,"DMSO",1300
110,"20200603 P1",-1.0876,0.7209,"DMSO",1300
111,"20200603 P1",0.1795,1.7935,"DMSO",1300
112,"20200603 P1",0.4015,6.2268,"DMSO",1300
113,"20200603 P1",0.6444,6.8008,"DMSO",1300
114,"20200603 P1",-0.318,4.0307,"DMSO",1300
115,"20200122 P1",0.3455,-0.1148,"DMSO",0
115,"20200122 P1",0.3455,-0.1148,"PTx",0
115,"20200122 P1",0.3455,-0.1148,"YM",0
115,"20200122 P1",0.3455,-0.1148,"ymptx",0
116,"20200603 P1",0.187,6.0201,"DMSO",1300
118,"20200122 P1",0.1046,0.4488,"DMSO",0
118,"20200122 P1",0.1046,0.4488,"PTx",0
118,"20200122 P1",0.1046,0.4488,"YM",0
118,"20200122 P1",0.1046,0.4488,"ymptx",0
120,"20200603 P1",0.426900000000001,3.4696,"DMSO",1300
121,"20200603 P1",0.4077,6.0741,"DMSO",1300
122,"20200122 P1",0.0396000000000001,0.4872,"DMSO",0
122,"20200122 P1",0.0396000000000001,0.4872,"PTx",0
122,"20200122 P1",0.0396000000000001,0.4872,"YM",0
122,"20200122 P1",0.0396000000000001,0.4872,"ymptx",0
122,"20200603 P1",2.3329,4.5214,"DMSO",1300
123,"20200603 P1",0.6437,3.0702,"DMSO",1300
124,"20200122 P1",0.1542,-0.5747,"DMSO",0
124,"20200122 P1",0.1542,-0.5747,"PTx",0
124,"20200122 P1",0.1542,-0.5747,"YM",0
124,"20200122 P1",0.1542,-0.5747,"ymptx",0
124,"20200603 P1",-0.501600000000001,3.9608,"DMSO",1300
125,"20200603 P1",0.789,5.8454,"DMSO",1300
127,"20200603 P1",0.156,4.9731,"DMSO",1300
129,"20200122 P1",-0.2866,-0.2125,"DMSO",0
129,"20200122 P1",-0.2866,-0.2125,"PTx",0
129,"20200122 P1",-0.2866,-0.2125,"YM",0
129,"20200122 P1",-0.2866,-0.2125,"ymptx",0
131,"20200603 P1",1.5183,7.1352,"DMSO",1300
133,"20200122 P1",-0.2153,0.0519000000000002,"DMSO",0
133,"20200122 P1",-0.2153,0.0519000000000002,"PTx",0
133,"20200122 P1",-0.2153,0.0519000000000002,"YM",0
133,"20200122 P1",-0.2153,0.0519000000000002,"ymptx",0
135,"20200603 P1",1.3542,5.7225,"DMSO",1300
136,"20200603 P1",-0.9406,3.297,"DMSO",1300
137,"20200603 P1",0.9665,4.1815,"DMSO",1300
139,"20200603 P1",-0.0521,3.8537,"DMSO",1300
140,"20200603 P1",0.0193000000000002,2.6904,"DMSO",1300
142,"20200603 P1",0.59,3.0065,"DMSO",1300
143,"20200122 P1",0.193,0.0953999999999998,"DMSO",0
143,"20200122 P1",0.193,0.0953999999999998,"PTx",0
143,"20200122 P1",0.193,0.0953999999999998,"YM",0
143,"20200122 P1",0.193,0.0953999999999998,"ymptx",0
143,"20200603 P1",0.2467,4.7325,"DMSO",1300
145,"20200603 P1",0.4254,3.694,"DMSO",1300
146,"20200603 P1",0.4268,4.3437,"DMSO",1300
147,"20200603 P1",0.4505,3.1522,"DMSO",1300
148,"20200603 P1",0.4099,6.1914,"DMSO",1300
149,"20200603 P1",0.7634,4.2065,"DMSO",1300
150,"20200122 P1",0.1521,0.254,"DMSO",0
150,"20200122 P1",0.1521,0.254,"PTx",0
150,"20200122 P1",0.1521,0.254,"YM",0
150,"20200122 P1",0.1521,0.254,"ymptx",0
150,"20200603 P1",0.5478,6.6079,"DMSO",1300
152,"20200122 P1",0.0377999999999995,0.1766,"DMSO",0
152,"20200122 P1",0.0377999999999995,0.1766,"PTx",0
152,"20200122 P1",0.0377999999999995,0.1766,"YM",0
152,"20200122 P1",0.0377999999999995,0.1766,"ymptx",0
152,"20200603 P1",0.58,2.9892,"DMSO",1300
154,"20200603 P1",-0.337300000000001,4.7518,"DMSO",1300
156,"20200122 P1",0.0877999999999999,-0.1341,"DMSO",0
156,"20200122 P1",0.0877999999999999,-0.1341,"PTx",0
156,"20200122 P1",0.0877999999999999,-0.1341,"YM",0
156,"20200122 P1",0.0877999999999999,-0.1341,"ymptx",0
156,"20200603 P1",0.3363,4.6613,"DMSO",1300
157,"20200122 P1",-0.2903,-0.385800000000001,"DMSO",0
157,"20200122 P1",-0.2903,-0.385800000000001,"PTx",0
157,"20200122 P1",-0.2903,-0.385800000000001,"YM",0
157,"20200122 P1",-0.2903,-0.385800000000001,"ymptx",0
157,"20200603 P1",0.329100000000001,7.3995,"DMSO",1300
158,"20200603 P1",-0.3982,0.6389,"DMSO",1300
160,"20200122 P1",-0.4173,0.00530000000000008,"DMSO",0
160,"20200122 P1",-0.4173,0.00530000000000008,"PTx",0
160,"20200122 P1",-0.4173,0.00530000000000008,"YM",0
160,"20200122 P1",-0.4173,0.00530000000000008,"ymptx",0
160,"20200603 P1",1.1374,4.5814,"DMSO",1300
161,"20200122 P1",-0.000599999999999795,0.1699,"DMSO",0
161,"20200122 P1",-0.000599999999999795,0.1699,"PTx",0
161,"20200122 P1",-0.000599999999999795,0.1699,"YM",0
161,"20200122 P1",-0.000599999999999795,0.1699,"ymptx",0
161,"20200603 P1",0.1887,6.3676,"DMSO",1300
163,"20200122 P1",0.1773,-0.00340000000000062,"DMSO",0
163,"20200122 P1",0.1773,-0.00340000000000062,"PTx",0
163,"20200122 P1",0.1773,-0.00340000000000062,"YM",0
163,"20200122 P1",0.1773,-0.00340000000000062,"ymptx",0
163,"20200603 P1",0.0451000000000004,4.4545,"DMSO",1300
165,"20200122 P1",0.0747000000000002,0.00729999999999975,"DMSO",0
165,"20200122 P1",0.0747000000000002,0.00729999999999975,"PTx",0
165,"20200122 P1",0.0747000000000002,0.00729999999999975,"YM",0
