"clu_A","clu_E","Cluster","cond_inh","Unique_Unique_Object"
1,1,"1_1","650.0 S1P YM","650.0 S1P YM_670750"
2,8,"2_8","28.57 His YM","28.57 His YM_670754"
3,8,"3_8","28.57 His YM","28.57 His YM_670755"
2,8,"2_8","650.0 S1P YM","650.0 S1P YM_670757"
1,8,"1_8","650.0 S1P YM","650.0 S1P YM_670759"
3,7,"3_7","28.57 His YM","28.57 His YM_670760"
3,7,"3_7","28.57 His YM","28.57 His YM_670761"
2,6,"2_6","650.0 S1P YM","650.0 S1P YM_670761"
2,8,"2_8","28.57 His YM","28.57 His YM_670762"
3,8,"3_8","28.57 His YM","28.57 His YM_670764"
1,8,"1_8","28.57 His YM","28.57 His YM_670765"
1,4,"1_4","650.0 S1P YM","650.0 S1P YM_670765"
1,8,"1_8","28.57 His YM","28.57 His YM_670769"
2,3,"2_3","650.0 S1P YM","650.0 S1P YM_670771"
2,8,"2_8","28.57 His YM","28.57 His YM_670772"
1,6,"1_6","650.0 S1P YM","650.0 S1P YM_670772"
3,8,"3_8","650.0 S1P YM","650.0 S1P YM_670774"
2,8,"2_8","28.57 His YM","28.57 His YM_670786"
2,6,"2_6","650.0 S1P YM","650.0 S1P YM_670788"
1,5,"1_5","28.57 His YM","28.57 His YM_670791"
2,8,"2_8","28.57 His YM","28.57 His YM_670793"
2,5,"2_5","650.0 S1P YM","650.0 S1P YM_670794"
2,8,"2_8","28.57 His YM","28.57 His YM_670799"
1,3,"1_3","650.0 S1P YM","650.0 S1P YM_670799"
2,8,"2_8","28.57 His YM","28.57 His YM_670801"
1,8,"1_8","28.57 His YM","28.57 His YM_670803"
3,2,"3_2","650.0 S1P YM","650.0 S1P YM_670807"
2,8,"2_8","28.57 His YM","28.57 His YM_670808"
1,4,"1_4","650.0 S1P YM","650.0 S1P YM_670808"
2,2,"2_2","650.0 S1P YM","650.0 S1P YM_670809"
3,7,"3_7","28.57 His YM","28.57 His YM_670810"
3,7,"3_7","28.57 His YM","28.57 His YM_670813"
2,2,"2_2","650.0 S1P YM","650.0 S1P YM_670815"
3,7,"3_7","28.57 His YM","28.57 His YM_670816"
3,2,"3_2","650.0 S1P YM","650.0 S1P YM_670816"
2,8,"2_8","28.57 His YM","28.57 His YM_670818"
1,1,"1_1","650.0 S1P YM","650.0 S1P YM_670819"
3,7,"3_7","28.57 His YM","28.57 His YM_670823"
2,8,"2_8","28.57 His YM","28.57 His YM_670826"
2,8,"2_8","28.57 His YM","28.57 His YM_670827"
3,5,"3_5","28.57 His YM","28.57 His YM_670828"
1,2,"1_2","650.0 S1P YM","650.0 S1P YM_670828"
1,2,"1_2","650.0 S1P YM","650.0 S1P YM_670829"
1,5,"1_5","28.57 His YM","28.57 His YM_670831"
3,8,"3_8","28.57 His YM","28.57 His YM_670833"
3,4,"3_4","650.0 S1P YM","650.0 S1P YM_670834"
2,8,"2_8","28.57 His YM","28.57 His YM_670835"
2,8,"2_8","28.57 His YM","28.57 His YM_670837"
3,8,"3_8","650.0 S1P YM","650.0 S1P YM_670837"
3,7,"3_7","28.57 His YM","28.57 His YM_670839"
3,6,"3_6","650.0 S1P YM","650.0 S1P YM_670843"
3,8,"3_8","28.57 His YM","28.57 His YM_670844"
3,6,"3_6","650.0 S1P YM","650.0 S1P YM_670844"
3,6,"3_6","650.0 S1P YM","650.0 S1P YM_670845"
3,7,"3_7","28.57 His YM","28.57 His YM_670846"
2,8,"2_8","28.57 His YM","28.57 His YM_670847"
1,3,"1_3","28.57 His YM","28.57 His YM_670848"
1,3,"1_3","650.0 S1P YM","650.0 S1P YM_670848"
2,3,"2_3","650.0 S1P YM","650.0 S1P YM_670851"
2,8,"2_8","28.57 His YM","28.57 His YM_670852"
1,6,"1_6","650.0 S1P YM","650.0 S1P YM_670853"
3,8,"3_8","28.57 His YM","28.57 His YM_670855"
3,8,"3_8","28.57 His YM","28.57 His YM_670856"
2,3,"2_3","650.0 S1P YM","650.0 S1P YM_670858"
3,5,"3_5","28.57 His YM","28.57 His YM_670862"
2,2,"2_2","650.0 S1P YM","650.0 S1P YM_670862"
3,7,"3_7","28.57 His YM","28.57 His YM_670864"
1,3,"1_3","650.0 S1P YM","650.0 S1P YM_670866"
2,6,"2_6","28.57 His YM","28.57 His YM_670867"
2,6,"2_6","28.57 His YM","28.57 His YM_670868"
1,2,"1_2","650.0 S1P YM","650.0 S1P YM_670868"
2,6,"2_6","28.57 His YM","28.57 His YM_670873"
3,6,"3_6","650.0 S1P YM","650.0 S1P YM_670873"
1,4,"1_4","650.0 S1P YM","650.0 S1P YM_670874"
2,6,"2_6","650.0 S1P YM","650.0 S1P YM_670877"
3,8,"3_8","28.57 His YM","28.57 His YM_670878"
1,4,"1_4","650.0 S1P YM","650.0 S1P YM_670879"
3,7,"3_7","28.57 His YM","28.57 His YM_670880"
1,6,"1_6","650.0 S1P YM","650.0 S1P YM_670882"
2,8,"2_8","28.57 His YM","28.57 His YM_670884"
3,6,"3_6","650.0 S1P YM","650.0 S1P YM_670884"
3,7,"3_7","28.57 His YM","28.57 His YM_670886"
3,7,"3_7","28.57 His YM","28.57 His YM_670887"
1,1,"1_1","650.0 S1P YM","650.0 S1P YM_670892"
2,1,"2_1","650.0 S1P YM","650.0 S1P YM_670893"
1,8,"1_8","28.57 His YM","28.57 His YM_670896"
1,4,"1_4","650.0 S1P YM","650.0 S1P YM_670897"
2,6,"2_6","650.0 S1P YM","650.0 S1P YM_670899"
3,8,"3_8","28.57 His YM","28.57 His YM_670901"
3,8,"3_8","28.57 His YM","28.57 His YM_670902"
2,2,"2_2","650.0 S1P YM","650.0 S1P YM_670903"
2,8,"2_8","28.57 His YM","28.57 His YM_670905"
2,3,"2_3","650.0 S1P YM","650.0 S1P YM_670906"
2,6,"2_6","650.0 S1P YM","650.0 S1P YM_670907"
2,6,"2_6","28.57 His YM","28.57 His YM_670908"
1,4,"1_4","650.0 S1P YM","650.0 S1P YM_670908"
1,3,"1_3","650.0 S1P YM","650.0 S1P YM_670909"
3,8,"3_8","650.0 S1P YM","650.0 S1P YM_670910"
2,6,"2_6","650.0 S1P YM","650.0 S1P YM_670912"
2,5,"2_5","28.57 His YM","28.57 His YM_670913"
3,8,"3_8","28.57 His YM","28.57 His YM_670915"
1,1,"1_1","650.0 S1P YM","650.0 S1P YM_670915"
3,7,"3_7","28.57 His YM","28.57 His YM_670919"
3,8,"3_8","28.57 His YM","28.57 His YM_670922"
2,8,"2_8","28.57 His YM","28.57 His YM_670925"
1,2,"1_2","650.0 S1P YM","650.0 S1P YM_670925"
1,5,"1_5","28.57 His YM","28.57 His YM_670927"
3,5,"3_5","650.0 S1P YM","650.0 S1P YM_670928"
2,8,"2_8","28.57 His YM","28.57 His YM_670932"
3,8,"3_8","28.57 His YM","28.57 His YM_670935"
2,8,"2_8","28.57 His YM","28.57 His YM_670937"
1,4,"1_4","650.0 S1P YM","650.0 S1P YM_670937"
1,4,"1_4","650.0 S1P YM","650.0 S1P YM_670938"
3,7,"3_7","28.57 His YM","28.57 His YM_670940"
2,8,"2_8","28.57 His YM","28.57 His YM_670941"
3,3,"3_3","650.0 S1P YM","650.0 S1P YM_670941"
3,8,"3_8","28.57 His YM","28.57 His YM_670942"
3,3,"3_3","650.0 S1P YM","650.0 S1P YM_670944"
2,8,"2_8","28.57 His YM","28.57 His YM_670947"
3,8,"3_8","650.0 S1P YM","650.0 S1P YM_670948"
2,8,"2_8","28.57 His YM","28.57 His YM_670949"
2,8,"2_8","28.57 His YM","28.57 His YM_670950"
2,8,"2_8","28.57 His YM","28.57 His YM_670952"
2,7,"2_7","28.57 His YM","28.57 His YM_670954"
3,4,"3_4","650.0 S1P YM","650.0 S1P YM_670955"
3,5,"3_5","28.57 His YM","28.57 His YM_670956"
2,8,"2_8","28.57 His YM","28.57 His YM_670959"
3,1,"3_1","650.0 S1P YM","650.0 S1P YM_670959"
2,8,"2_8","28.57 His YM","28.57 His YM_670962"
1,2,"1_2","650.0 S1P YM","650.0 S1P YM_670964"
1,4,"1_4","650.0 S1P YM","650.0 S1P YM_670965"
3,8,"3_8","28.57 His YM","28.57 His YM_670966"
2,8,"2_8","650.0 S1P YM","650.0 S1P YM_670966"
2,8,"2_8","28.57 His YM","28.57 His YM_670967"
1,4,"1_4","650.0 S1P YM","650.0 S1P YM_670967"
3,8,"3_8","28.57 His YM","28.57 His YM_670968"
1,5,"1_5","28.57 His YM","28.57 His YM_670973"
2,2,"2_2","650.0 S1P YM","650.0 S1P YM_670976"
1,6,"1_6","650.0 S1P YM","650.0 S1P YM_670977"
3,8,"3_8","28.57 His YM","28.57 His YM_670979"
2,7,"2_7","28.57 His YM","28.57 His YM_670981"
1,1,"1_1","650.0 S1P YM","650.0 S1P YM_670982"
3,8,"3_8","28.57 His YM","28.57 His YM_670983"
1,6,"1_6","650.0 S1P YM","650.0 S1P YM_670983"
2,2,"2_2","650.0 S1P YM","650.0 S1P YM_670985"
2,5,"2_5","28.57 His YM","28.57 His YM_670986"
1,5,"1_5","650.0 S1P YM","650.0 S1P YM_670987"
3,8,"3_8","28.57 His YM","28.57 His YM_670988"
3,8,"3_8","28.57 His YM","28.57 His YM_670989"
3,6,"3_6","650.0 S1P YM","650.0 S1P YM_670989"
3,8,"3_8","650.0 S1P YM","650.0 S1P YM_670991"
2,4,"2_4","650.0 S1P YM","650.0 S1P YM_670993"
3,8,"3_8","28.57 His YM","28.57 His YM_670994"
3,8,"3_8","28.57 His YM","28.57 His YM_670998"
3,8,"3_8","28.57 His YM","28.57 His YM_670999"
1,4,"1_4","650.0 S1P YM","650.0 S1P YM_671001"
2,8,"2_8","28.57 His YM","28.57 His YM_671002"
1,6,"1_6","650.0 S1P YM","650.0 S1P YM_671002"
3,2,"3_2","650.0 S1P YM","650.0 S1P YM_671003"
2,7,"2_7","28.57 His YM","28.57 His YM_671005"
2,8,"2_8","28.57 His YM","28.57 His YM_671006"
2,2,"2_2","28.57 His YM","28.57 His YM_671007"
2,6,"2_6","650.0 S1P YM","650.0 S1P YM_671007"
3,8,"3_8","28.57 His YM","28.57 His YM_671008"
3,8,"3_8","28.57 His YM","28.57 His YM_671009"
2,8,"2_8","28.57 His YM","28.57 His YM_671010"
1,4,"1_4","650.0 S1P YM","650.0 S1P YM_671010"
2,8,"2_8","28.57 His YM","28.57 His YM_671012"
3,7,"3_7","28.57 His YM","28.57 His YM_671013"
1,2,"1_2","650.0 S1P YM","650.0 S1P YM_671013"
1,5,"1_5","28.57 His YM","28.57 His YM_671014"
1,4,"1_4","650.0 S1P YM","650.0 S1P YM_671016"
2,8,"2_8","28.57 His YM","28.57 His YM_671017"
2,8,"2_8","28.57 His YM","28.57 His YM_671021"
1,6,"1_6","650.0 S1P YM","650.0 S1P YM_671026"
2,5,"2_5","28.57 His YM","28.57 His YM_671031"
1,5,"1_5","28.57 His YM","28.57 His YM_671033"
3,6,"3_6","650.0 S1P YM","650.0 S1P YM_671033"
2,8,"2_8","28.57 His YM","28.57 His YM_671035"
2,8,"2_8","28.57 His YM","28.57 His YM_671037"
3,6,"3_6","650.0 S1P YM","650.0 S1P YM_671038"
1,6,"1_6","650.0 S1P YM","650.0 S1P YM_671039"
2,8,"2_8","28.57 His YM","28.57 His YM_671042"
2,2,"2_2","650.0 S1P YM","650.0 S1P YM_671042"
3,8,"3_8","28.57 His YM","28.57 His YM_671044"
1,5,"1_5","28.57 His YM","28.57 His YM_671045"
1,1,"1_1","650.0 S1P YM","650.0 S1P YM_671045"
3,8,"3_8","28.57 His YM","28.57 His YM_671046"
2,7,"2_7","28.57 His YM","28.57 His YM_671048"
2,8,"2_8","28.57 His YM","28.57 His YM_671050"
2,6,"2_6","650.0 S1P YM","650.0 S1P YM_671050"
1,1,"1_1","650.0 S1P YM","650.0 S1P YM_671051"
1,2,"1_2","28.57 His YM","28.57 His YM_671053"
3,8,"3_8","28.57 His YM","28.57 His YM_671054"
2,8,"2_8","28.57 His YM","28.57 His YM_671055"
1,4,"1_4","650.0 S1P YM","650.0 S1P YM_671056"
1,2,"1_2","28.57 His YM","28.57 His YM_671059"
2,8,"2_8","28.57 His YM","28.57 His YM_671062"
1,2,"1_2","650.0 S1P YM","650.0 S1P YM_671062"
2,5,"2_5","28.57 His YM","28.57 His YM_671063"
1,2,"1_2","650.0 S1P YM","650.0 S1P YM_671063"
1,2,"1_2","650.0 S1P YM","650.0 S1P YM_671064"
3,7,"3_7","28.57 His YM","28.57 His YM_671065"
3,2,"3_2","650.0 S1P YM","650.0 S1P YM_671065"
2,8,"2_8","28.57 His YM","28.57 His YM_671066"
2,8,"2_8","28.57 His YM","28.57 His YM_671067"
2,8,"2_8","28.57 His YM","28.57 His YM_671070"
1,1,"1_1","650.0 S1P YM","650.0 S1P YM_671071"
1,3,"1_3","650.0 S1P YM","650.0 S1P YM_671072"
2,8,"2_8","28.57 His YM","28.57 His YM_671073"
2,2,"2_2","650.0 S1P YM","650.0 S1P YM_671074"
1,4,"1_4","650.0 S1P YM","650.0 S1P YM_671075"
3,8,"3_8","28.57 His YM","28.57 His YM_671076"
1,6,"1_6","28.57 His YM","28.57 His YM_671077"
3,8,"3_8","28.57 His YM","28.57 His YM_671078"
3,8,"3_8","28.57 His YM","28.57 His YM_671081"
3,8,"3_8","28.57 His YM","28.57 His YM_671082"
1,5,"1_5","28.57 His YM","28.57 His YM_671084"
3,8,"3_8","28.57 His YM","28.57 His YM_671087"
2,8,"2_8","28.57 His YM","28.57 His YM_671088"
2,2,"2_2","650.0 S1P YM","650.0 S1P YM_671088"
2,8,"2_8","28.57 His YM","28.57 His YM_671089"
2,8,"2_8","650.0 S1P YM","650.0 S1P YM_671094"
3,8,"3_8","28.57 His YM","28.57 His YM_671096"
1,4,"1_4","650.0 S1P YM","650.0 S1P YM_671100"
2,8,"2_8","28.57 His YM","28.57 His YM_671105"
2,8,"2_8","28.57 His YM","28.57 His YM_671108"
1,4,"1_4","650.0 S1P YM","650.0 S1P YM_671109"
2,8,"2_8","28.57 His YM","28.57 His YM_671110"
3,2,"3_2","650.0 S1P YM","650.0 S1P YM_671110"
3,8,"3_8","28.57 His YM","28.57 His YM_671111"
3,8,"3_8","28.57 His YM","28.57 His YM_671113"
1,5,"1_5","650.0 S1P YM","650.0 S1P YM_671113"
3,8,"3_8","28.57 His YM","28.57 His YM_671115"
1,4,"1_4","650.0 S1P YM","650.0 S1P YM_671117"
1,4,"1_4","650.0 S1P YM","650.0 S1P YM_671119"
1,1,"1_1","650.0 S1P YM","650.0 S1P YM_671120"
1,5,"1_5","650.0 S1P YM","650.0 S1P YM_671122"
1,8,"1_8","28.57 His YM","28.57 His YM_671127"
2,2,"2_2","650.0 S1P YM","650.0 S1P YM_671127"
2,8,"2_8","28.57 His YM","28.57 His YM_671128"
2,8,"2_8","28.57 His YM","28.57 His YM_671129"
2,2,"2_2","650.0 S1P YM","650.0 S1P YM_671129"
2,6,"2_6","28.57 His YM","28.57 His YM_671130"
2,8,"2_8","28.57 His YM","28.57 His YM_671131"
1,5,"1_5","650.0 S1P YM","650.0 S1P YM_671132"
1,8,"1_8","28.57 His YM","28.57 His YM_671133"
2,3,"2_3","650.0 S1P YM","650.0 S1P YM_671133"
1,5,"1_5","650.0 S1P YM","650.0 S1P YM_671135"
1,4,"1_4","650.0 S1P YM","650.0 S1P YM_671137"
1,1,"1_1","650.0 S1P YM","650.0 S1P YM_671138"
2,3,"2_3","650.0 S1P YM","650.0 S1P YM_671139"
2,7,"2_7","28.57 His YM","28.57 His YM_671140"
2,8,"2_8","28.57 His YM","28.57 His YM_671141"
3,3,"3_3","650.0 S1P YM","650.0 S1P YM_671143"
2,8,"2_8","28.57 His YM","28.57 His YM_671145"
1,4,"1_4","650.0 S1P YM","650.0 S1P YM_671145"
2,8,"2_8","28.57 His YM","28.57 His YM_671146"
2,8,"2_8","28.57 His YM","28.57 His YM_671147"
2,8,"2_8","28.57 His YM","28.57 His YM_671148"
3,8,"3_8","28.57 His YM","28.57 His YM_671149"
1,2,"1_2","650.0 S1P YM","650.0 S1P YM_671152"
3,6,"3_6","650.0 S1P YM","650.0 S1P YM_671153"
2,8,"2_8","28.57 His YM","28.57 His YM_671154"
2,8,"2_8","28.57 His YM","28.57 His YM_671155"
3,7,"3_7","28.57 His YM","28.57 His YM_671156"
1,2,"1_2","650.0 S1P YM","650.0 S1P YM_671156"
2,5,"2_5","28.57 His YM","28.57 His YM_671160"
1,4,"1_4","650.0 S1P YM","650.0 S1P YM_671160"
2,8,"2_8","28.57 His YM","28.57 His YM_671161"
2,4,"2_4","650.0 S1P YM","650.0 S1P YM_671161"
3,8,"3_8","28.57 His YM","28.57 His YM_671163"
2,3,"2_3","650.0 S1P YM","650.0 S1P YM_671163"
3,8,"3_8","28.57 His YM","28.57 His YM_671164"
2,8,"2_8","28.57 His YM","28.57 His YM_671165"
1,2,"1_2","650.0 S1P YM","650.0 S1P YM_671165"
2,8,"2_8","28.57 His YM","28.57 His YM_671166"
1,2,"1_2","650.0 S1P YM","650.0 S1P YM_671166"
3,8,"3_8","28.57 His YM","28.57 His YM_671167"
1,3,"1_3","650.0 S1P YM","650.0 S1P YM_671167"
2,8,"2_8","28.57 His YM","28.57 His YM_671168"
1,1,"1_1","650.0 S1P YM","650.0 S1P YM_671168"
3,8,"3_8","28.57 His YM","28.57 His YM_671170"
1,1,"1_1","650.0 S1P YM","650.0 S1P YM_671170"
3,7,"3_7","28.57 His YM","28.57 His YM_671171"
1,4,"1_4","650.0 S1P YM","650.0 S1P YM_671171"
3,8,"3_8","28.57 His YM","28.57 His YM_671174"
3,1,"3_1","650.0 S1P YM","650.0 S1P YM_671174"
3,8,"3_8","28.57 His YM","28.57 His YM_671176"
1,1,"1_1","650.0 S1P YM","650.0 S1P YM_671176"
3,7,"3_7","28.57 His YM","28.57 His YM_671177"
1,2,"1_2","650.0 S1P YM","650.0 S1P YM_671177"
2,8,"2_8","28.57 His YM","28.57 His YM_671178"
3,8,"3_8","650.0 S1P YM","650.0 S1P YM_671181"
3,7,"3_7","28.57 His YM","28.57 His YM_671182"
3,8,"3_8","28.57 His YM","28.57 His YM_671183"
1,3,"1_3","650.0 S1P YM","650.0 S1P YM_671184"
2,6,"2_6","650.0 S1P YM","650.0 S1P YM_671187"
1,2,"1_2","650.0 S1P YM","650.0 S1P YM_671188"
2,8,"2_8","28.57 His YM","28.57 His YM_671191"
2,8,"2_8","28.57 His YM","28.57 His YM_671192"
3,3,"3_3","650.0 S1P YM","650.0 S1P YM_671195"
1,4,"1_4","650.0 S1P YM","650.0 S1P YM_671197"
3,8,"3_8","28.57 His YM","28.57 His YM_671200"
2,8,"2_8","28.57 His YM","28.57 His YM_671201"
3,8,"3_8","650.0 S1P YM","650.0 S1P YM_671203"
1,8,"1_8","28.57 His YM","28.57 His YM_671204"
3,8,"3_8","28.57 His YM","28.57 His YM_671205"
3,7,"3_7","0.41 UK DMSO","0.41 UK DMSO_672"
2,4,"2_4","1300.0 S1P DMSO","1300.0 S1P DMSO_672"
1,3,"1_3","81.3 S1P YM","81.3 S1P YM_672503"
3,7,"3_7","81.3 S1P YM","81.3 S1P YM_672504"
1,8,"1_8","81.3 S1P YM","81.3 S1P YM_672506"
3,7,"3_7","81.3 S1P YM","81.3 S1P YM_672507"
2,7,"2_7","81.3 S1P YM","81.3 S1P YM_672508"
1,6,"1_6","81.3 S1P YM","81.3 S1P YM_672510"
2,8,"2_8","8.16 His YM","8.16 His YM_672511"
2,8,"2_8","81.3 S1P YM","81.3 S1P YM_672511"
3,7,"3_7","81.3 S1P YM","81.3 S1P YM_672512"
1,8,"1_8","81.3 S1P YM","81.3 S1P YM_672513"
3,8,"3_8","81.3 S1P YM","81.3 S1P YM_672514"
3,6,"3_6","81.3 S1P YM","81.3 S1P YM_672515"
3,8,"3_8","81.3 S1P YM","81.3 S1P YM_672516"
3,8,"3_8","81.3 S1P YM","81.3 S1P YM_672519"
1,6,"1_6","81.3 S1P YM","81.3 S1P YM_672520"
3,8,"3_8","8.16 His YM","8.16 His YM_672521"
2,8,"2_8","81.3 S1P YM","81.3 S1P YM_672521"
3,8,"3_8","81.3 S1P YM","81.3 S1P YM_672523"
3,8,"3_8","81.3 S1P YM","81.3 S1P YM_672525"
2,8,"2_8","8.16 His YM","8.16 His YM_672526"
3,8,"3_8","81.3 S1P YM","81.3 S1P YM_672526"
1,8,"1_8","8.16 His YM","8.16 His YM_672527"
1,8,"1_8","81.3 S1P YM","81.3 S1P YM_672527"
1,8,"1_8","8.16 His YM","8.16 His YM_672529"
1,5,"1_5","8.16 His YM","8.16 His YM_672530"
2,5,"2_5","81.3 S1P YM","81.3 S1P YM_672530"
3,7,"3_7","81.3 S1P YM","81.3 S1P YM_672532"
2,8,"2_8","8.16 His YM","8.16 His YM_672533"
1,8,"1_8","81.3 S1P YM","81.3 S1P YM_672533"
1,8,"1_8","81.3 S1P YM","81.3 S1P YM_672536"
3,7,"3_7","8.16 His YM","8.16 His YM_672537"
2,7,"2_7","81.3 S1P YM","81.3 S1P YM_672537"
2,7,"2_7","8.16 His YM","8.16 His YM_672540"
3,7,"3_7","81.3 S1P YM","81.3 S1P YM_672541"
2,8,"2_8","8.16 His YM","8.16 His YM_672543"
3,7,"3_7","8.16 His YM","8.16 His YM_672546"
2,8,"2_8","81.3 S1P YM","81.3 S1P YM_672547"
3,7,"3_7","81.3 S1P YM","81.3 S1P YM_672550"
3,8,"3_8","81.3 S1P YM","81.3 S1P YM_672551"
2,8,"2_8","81.3 S1P YM","81.3 S1P YM_672552"
3,7,"3_7","8.16 His YM","8.16 His YM_672553"
3,7,"3_7","81.3 S1P YM","81.3 S1P YM_672555"
1,8,"1_8","8.16 His YM","8.16 His YM_672560"
3,7,"3_7","8.16 His YM","8.16 His YM_672561"
3,8,"3_8","8.16 His YM","8.16 His YM_672563"
3,8,"3_8","81.3 S1P YM","81.3 S1P YM_672563"
2,8,"2_8","81.3 S1P YM","81.3 S1P YM_672564"
2,8,"2_8","8.16 His YM","8.16 His YM_672565"
3,8,"3_8","81.3 S1P YM","81.3 S1P YM_672565"
3,7,"3_7","8.16 His YM","8.16 His YM_672566"
3,8,"3_8","81.3 S1P YM","81.3 S1P YM_672566"
2,8,"2_8","8.16 His YM","8.16 His YM_672568"
2,8,"2_8","81.3 S1P YM","81.3 S1P YM_672568"
1,2,"1_2","81.3 S1P YM","81.3 S1P YM_672569"
3,8,"3_8","8.16 His YM","8.16 His YM_672570"
2,8,"2_8","81.3 S1P YM","81.3 S1P YM_672570"
2,2,"2_2","81.3 S1P YM","81.3 S1P YM_672571"
1,6,"1_6","81.3 S1P YM","81.3 S1P YM_672572"
1,8,"1_8","8.16 His YM","8.16 His YM_672574"
3,8,"3_8","81.3 S1P YM","81.3 S1P YM_672574"
2,8,"2_8","8.16 His YM","8.16 His YM_672576"
3,8,"3_8","81.3 S1P YM","81.3 S1P YM_672577"
2,7,"2_7","8.16 His YM","8.16 His YM_672578"
3,7,"3_7","8.16 His YM","8.16 His YM_672580"
3,8,"3_8","8.16 His YM","8.16 His YM_672582"
1,8,"1_8","8.16 His YM","8.16 His YM_672583"
2,7,"2_7","8.16 His YM","8.16 His YM_672584"
3,7,"3_7","81.3 S1P YM","81.3 S1P YM_672584"
2,7,"2_7","8.16 His YM","8.16 His YM_672585"
2,8,"2_8","81.3 S1P YM","81.3 S1P YM_672585"
2,8,"2_8","8.16 His YM","8.16 His YM_672586"
3,6,"3_6","81.3 S1P YM","81.3 S1P YM_672586"
2,8,"2_8","8.16 His YM","8.16 His YM_672588"
2,6,"2_6","81.3 S1P YM","81.3 S1P YM_672589"
2,6,"2_6","81.3 S1P YM","81.3 S1P YM_672590"
1,8,"1_8","8.16 His YM","8.16 His YM_672591"
2,2,"2_2","81.3 S1P YM","81.3 S1P YM_672591"
2,5,"2_5","81.3 S1P YM","81.3 S1P YM_672592"
2,8,"2_8","8.16 His YM","8.16 His YM_672593"
2,8,"2_8","81.3 S1P YM","81.3 S1P YM_672594"
2,8,"2_8","8.16 His YM","8.16 His YM_672595"
2,8,"2_8","8.16 His YM","8.16 His YM_672596"
3,8,"3_8","81.3 S1P YM","81.3 S1P YM_672596"
2,8,"2_8","81.3 S1P YM","81.3 S1P YM_672597"
2,8,"2_8","81.3 S1P YM","81.3 S1P YM_672599"
3,8,"3_8","81.3 S1P YM","81.3 S1P YM_672602"
3,8,"3_8","8.16 His YM","8.16 His YM_672603"
2,8,"2_8","81.3 S1P YM","81.3 S1P YM_672603"
2,5,"2_5","81.3 S1P YM","81.3 S1P YM_672604"
2,8,"2_8","81.3 S1P YM","81.3 S1P YM_672605"
2,7,"2_7","8.16 His YM","8.16 His YM_672606"
3,8,"3_8","81.3 S1P YM","81.3 S1P YM_672606"
3,7,"3_7","8.16 His YM","8.16 His YM_672609"
1,6,"1_6","81.3 S1P YM","81.3 S1P YM_672610"
2,8,"2_8","81.3 S1P YM","81.3 S1P YM_672611"
2,8,"2_8","8.16 His YM","8.16 His YM_672612"
2,8,"2_8","81.3 S1P YM","81.3 S1P YM_672612"
3,7,"3_7","8.16 His YM","8.16 His YM_672614"
3,7,"3_7","8.16 His YM","8.16 His YM_672615"
2,5,"2_5","81.3 S1P YM","81.3 S1P YM_672615"
3,8,"3_8","8.16 His YM","8.16 His YM_672617"
3,7,"3_7","8.16 His YM","8.16 His YM_672618"
2,8,"2_8","81.3 S1P YM","81.3 S1P YM_672618"
2,8,"2_8","8.16 His YM","8.16 His YM_672619"
2,8,"2_8","81.3 S1P YM","81.3 S1P YM_672619"
3,8,"3_8","8.16 His YM","8.16 His YM_672620"
2,6,"2_6","81.3 S1P YM","81.3 S1P YM_672621"
2,8,"2_8","8.16 His YM","8.16 His YM_672622"
3,8,"3_8","81.3 S1P YM","81.3 S1P YM_672622"
3,7,"3_7","8.16 His YM","8.16 His YM_672624"
1,8,"1_8","81.3 S1P YM","81.3 S1P YM_672624"
2,8,"2_8","8.16 His YM","8.16 His YM_672625"
3,8,"3_8","81.3 S1P YM","81.3 S1P YM_672626"
1,6,"1_6","81.3 S1P YM","81.3 S1P YM_672627"
3,8,"3_8","81.3 S1P YM","81.3 S1P YM_672629"
2,8,"2_8","8.16 His YM","8.16 His YM_672630"
3,7,"3_7","8.16 His YM","8.16 His YM_672634"
2,8,"2_8","81.3 S1P YM","81.3 S1P YM_672635"
2,8,"2_8","81.3 S1P YM","81.3 S1P YM_672637"
2,8,"2_8","8.16 His YM","8.16 His YM_672640"
3,7,"3_7","8.16 His YM","8.16 His YM_672641"
3,8,"3_8","81.3 S1P YM","81.3 S1P YM_672642"
3,7,"3_7","81.3 S1P YM","81.3 S1P YM_672643"
3,7,"3_7","8.16 His YM","8.16 His YM_672644"
2,3,"2_3","81.3 S1P YM","81.3 S1P YM_672645"
3,7,"3_7","8.16 His YM","8.16 His YM_672646"
3,7,"3_7","8.16 His YM","8.16 His YM_672647"
2,8,"2_8","8.16 His YM","8.16 His YM_672648"
2,6,"2_6","81.3 S1P YM","81.3 S1P YM_672648"
2,8,"2_8","8.16 His YM","8.16 His YM_672650"
2,8,"2_8","8.16 His YM","8.16 His YM_672652"
3,8,"3_8","81.3 S1P YM","81.3 S1P YM_672652"
1,8,"1_8","8.16 His YM","8.16 His YM_672653"
3,7,"3_7","81.3 S1P YM","81.3 S1P YM_672653"
3,8,"3_8","81.3 S1P YM","81.3 S1P YM_672654"
2,8,"2_8","8.16 His YM","8.16 His YM_672655"
3,7,"3_7","81.3 S1P YM","81.3 S1P YM_672655"
2,8,"2_8","8.16 His YM","8.16 His YM_672656"
3,7,"3_7","8.16 His YM","8.16 His YM_672658"
1,8,"1_8","8.16 His YM","8.16 His YM_672659"
1,4,"1_4","81.3 S1P YM","81.3 S1P YM_672659"
