"Unique_Unique_Object","Experiment","Aktnac","ERKnac","Condition","Concen"
76,"20200122 P1",-0.1641,-0.354,"YM",0
76,"20200122 P1",-0.1641,-0.354,"ymptx",0
78,"20200122 P1",-0.1552,-0.2954,"DMSO",0
78,"20200122 P1",-0.1552,-0.2954,"PTx",0
78,"20200122 P1",-0.1552,-0.2954,"YM",0
78,"20200122 P1",-0.1552,-0.2954,"ymptx",0
80,"20200122 P1",0.2689,0.4525,"DMSO",0
80,"20200122 P1",0.2689,0.4525,"PTx",0
80,"20200122 P1",0.2689,0.4525,"YM",0
80,"20200122 P1",0.2689,0.4525,"ymptx",0
80,"20200526 P1",0.5197,-0.5625,"DMSO",0.19
81,"20200122 P1",0.00610000000000016,-0.2906,"DMSO",0
81,"20200122 P1",0.00610000000000016,-0.2906,"PTx",0
81,"20200122 P1",0.00610000000000016,-0.2906,"YM",0
81,"20200122 P1",0.00610000000000016,-0.2906,"ymptx",0
81,"20200526 P1",0.3265,0.1176,"DMSO",0.19
84,"20200122 P1",0.2184,0.2419,"DMSO",0
84,"20200122 P1",0.2184,0.2419,"PTx",0
84,"20200122 P1",0.2184,0.2419,"YM",0
84,"20200122 P1",0.2184,0.2419,"ymptx",0
84,"20200526 P1",0.6014,0.4876,"DMSO",0.19
85,"20200122 P1",-0.0143999999999999,0.369100000000001,"DMSO",0
85,"20200122 P1",-0.0143999999999999,0.369100000000001,"PTx",0
85,"20200122 P1",-0.0143999999999999,0.369100000000001,"YM",0
85,"20200122 P1",-0.0143999999999999,0.369100000000001,"ymptx",0
86,"20200122 P1",0.1914,0.4121,"DMSO",0
86,"20200122 P1",0.1914,0.4121,"PTx",0
86,"20200122 P1",0.1914,0.4121,"YM",0
86,"20200122 P1",0.1914,0.4121,"ymptx",0
89,"20200122 P1",0.0134,0.4622,"DMSO",0
89,"20200122 P1",0.0134,0.4622,"PTx",0
89,"20200122 P1",0.0134,0.4622,"YM",0
89,"20200122 P1",0.0134,0.4622,"ymptx",0
91,"20200526 P1",-0.0556999999999998,-0.2948,"DMSO",0.19
92,"20200526 P1",0.3087,0.3032,"DMSO",0.19
93,"20200122 P1",0.1371,0.00519999999999932,"DMSO",0
93,"20200122 P1",0.1371,0.00519999999999932,"PTx",0
93,"20200122 P1",0.1371,0.00519999999999932,"YM",0
93,"20200122 P1",0.1371,0.00519999999999932,"ymptx",0
95,"20200526 P1",-0.0751000000000002,-0.0247999999999996,"DMSO",0.19
96,"20200122 P1",0.1164,-0.241699999999999,"DMSO",0
96,"20200122 P1",0.1164,-0.241699999999999,"PTx",0
